entidad,nombre_pip,monto_viable,poblacion_ref,tipo,latitud,longitud,ratio_costo,pob_dist,es_marcona,ratio_costo_norm
MUNICIPALIDAD DISTRITAL DE LOMAS,MEJORAMIENTO DE LOS SERVICIOS BIBLIOTECARIOS EN LA BIBLIOTECA MUNICIPAL DEL   DISTRITO DE LOMAS DE LA PROVINCIA DE CARAVELI DEL DEPARTAMENTO DE AREQUIPA,364878.49,1695,DISTRITAL,-15.569694499467142,-74.85132655496513,215.26754572271386,1695,False,0.1197713365735637
MUNICIPALIDAD PROVINCIAL DE REQUENA,MEJORAMIENTO DEL SERVICIO E IMPLEMENTACIÓN VIRTUAL DE LA BIBLIOTECA MUNICIPAL DE LA CIUDAD DE REQUENA DEL DISTRITO DE REQUENA - PROVINCIA DE REQUENA - DEPARTAMENTO DE LORETO,912651.08,62931,PROVINCIAL,-5.064204896900375,-73.85692268690076,14.502408669812969,28320,False,0.00785639738062942
GOBIERNO REGIONAL LORETO,MEJORAMIENTO DE LOS SERVICIOS BIBLIOTECARIOS EN SUB GERENCIA DE PROMOCIÓN CULTURAL   DISTRITO DE IQUITOS DE LA PROVINCIA DE MAYNAS DEL DEPARTAMENTO DE LORETO,1864796.6,1066899,REGIONAL,-3.7517075558135113,-73.25952437301513,1.7478661054139146,165459,False,0.000746478415205202
MUNICIPALIDAD DISTRITAL DE CHICLA,MEJORAMIENTO DE LOS SERVICIOS BIBLIOTECARIOS EN LA BIBLIOTECA MUNICIPAL DEL   DISTRITO DE CHICLA DE LA PROVINCIA DE HUAROCHIRI DEL DEPARTAMENTO DE LIMA,104155.51,2418,DISTRITAL,-11.705032751132958,-76.26872227897553,43.07506617038875,2418,False,0.023783999521607174
MUNICIPALIDAD DISTRITAL DE COLAN,MEJORAMIENTO DE LOS SERVICIOS DE LA BIBLIOTECA MUNICIPAL  FRAY AGUSTIN MARIA GODOY SAN LUCAS (PUEBLO NUEVO DE COLAN) DEL DISTRITO DE COLAN - PROVINCIA DE PAITA - DEPARTAMENTO DE PIURA,918838.7,18029,DISTRITAL,-4.907987670485435,-81.05732370634583,50.964484996394695,18029,False,0.028181893703540732
GOBIERNO REGIONAL ICA,CREACION DE LOS SERVICIOS BIBLIOTECARIOS EN BIBLIOTECA PUBLICA VIRTUAL DE LA LOCALIDAD DE CHINCHA   DISTRITO DE ICA DE LA PROVINCIA DE ICA DEL DEPARTAMENTO DE ICA,1702727.53,1101382,REGIONAL,-14.075493721647762,-75.73456751123655,1.5459917903143505,193982,False,0.0006339451734749415
GOBIERNO REGIONAL ICA,RECUPERACION DE LOS SERVICIOS BIBLIOTECARIOS EN BIBLIOTECA MUNICIPAL JOSE DE SAN MARTIN   DISTRITO DE ICA DE LA PROVINCIA DE ICA DEL DEPARTAMENTO DE ICA,996377.1,1101382,REGIONAL,-14.071640941322649,-75.72890886085774,0.9046607807282123,193982,False,0.0002764402700142202
MINISTERIO DE CULTURA,MEJORAMIENTO DE LOS SERVICIOS BIBLIOTECARIOS Y CULTURALES Y EDUCATIVOS DE LA GRAN BIBLIOTECA PUBLICA DE LIMA ¿ SEDE AV. ABANCAY  DISTRITO DE LIMA - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA,43696899.89,11576218,NACIONAL,-12.05038601134028,-77.02833922620871,3.7747129407894704,264206,False,0.0018763281673296287
MUNICIPALIDAD PROVINCIAL DE ATALAYA,AMPLIACION DE LOS SERVICIOS BIBLIOTECARIOS EN LA BIBLIOTECA MUNICIPAL   DISTRITO DE RAIMONDI DE LA PROVINCIA DE ATALAYA DEL DEPARTAMENTO DE UCAYALI,576898.68,68831,PROVINCIAL,-10.717157246278072,-73.76673134399287,8.38137873923087,44991,False,0.004444277614543128
MUNICIPALIDAD DISTRITAL DE LA ESPERANZA,CREACION DEL SERVICIO DE BIBLIOTECA MUNICIPAL EDUCATIVA Y CULTURAL MÓVIL A NIVEL DISTRITAL DEL DISTRITO DE LA ESPERANZA - PROVINCIA DE TRUJILLO - DEPARTAMENTO DE LA LIBERTAD,103348.52,252839,DISTRITAL,-8.07207000000001,-79.048869,0.4087522890060473,252839,False,0.0
MUNICIPALIDAD DISTRITAL DE ETEN PUERTO,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS BIBLIOTECARIOS EN LA BIBLIOTECA MUNICIPAL JUAN MEJIA BACA   DISTRITO DE ETEN PUERTO DE LA PROVINCIA DE CHICLAYO DEL DEPARTAMENTO DE LAMBAYEQUE,1085397.65,2493,DISTRITAL,-6.925197039090001,-79.86612105085297,435.37811873245084,2493,False,0.2424702361719325
MUNICIPALIDAD DISTRITAL DE BERNAL,MEJORAMIENTO DE LOS SERVICIOS BIBLIOTECARIOS EN BIBLIOTECA PUBLICA DE BERNAL   DISTRITO DE BERNAL DE LA PROVINCIA DE SECHURA DEL DEPARTAMENTO DE PIURA,1301066.39,8429,DISTRITAL,-5.460306343363159,-80.74252487905368,154.35596037489617,8429,False,0.08581665464813552
MUNICIPALIDAD DISTRITAL DE ALTO LARAN,MEJORAMIENTO DE LOS SERVICIOS BIBLIOTECARIOS EN LA BIBLIOTECA INFANTIL MUNICIPAL   DISTRITO DE ALTO LARAN DE LA PROVINCIA DE CHINCHA DEL DEPARTAMENTO DE ICA,641166.07,10147,DISTRITAL,-13.44186609590893,-76.08513838580753,63.18774711737459,10147,False,0.03499565458398836
MUNICIPALIDAD DISTRITAL DE CCATCA,MEJORAMIENTO DEL SERVICIO DE BIBLIOTECA MUNICIPAL  DISTRITO DE CCATCA - PROVINCIA DE QUISPICANCHI - DEPARTAMENTO DE CUSCO,494483.18,15217,DISTRITAL,-13.605309612363738,-71.56355214440632,32.49544456857462,15217,False,0.01788647306043031
MUNICIPALIDAD DISTRITAL DE MARCONA,CENTRO CULTURAL MARCONA (Propuesta),5000000.0,30214,DISTRITAL,-15.3478,-75.1267,165.48619845104918,21409,True,0.0920211179119308
